
2016-10-11T19:14:01.660Z - info: Validating card for payment page || user_id :6
2016-10-11T19:14:01.660Z - info: Valid card || user_id :6
2016-10-11T19:14:03.444Z - info: placing order and redirecting to home page || user_id :6
2016-10-11T19:14:03.738Z - info: All operation done successfully for payment page || user_id :6
2016-10-11T19:14:03.794Z - info: Redirecting to home page || user_id :6
2016-10-11T19:14:04.383Z - info: Displaying items for home page || user_id :6
2016-10-11T19:15:22.002Z - info: Redirecting to home page || anonymous user
2016-10-11T19:15:22.603Z - info: Displaying items for home page || anonymous user
2016-10-11T19:15:23.119Z - info: Redirecting to login page
2016-10-11T19:15:26.177Z - info: User logged in ||user_id :7
2016-10-11T19:15:26.250Z - info: Redirecting to home page || user_id :7
2016-10-11T19:15:26.749Z - info: Displaying items for home page || user_id :7
2016-10-11T19:15:27.943Z - info: User sigining out ||user_id :7
2016-10-11T19:15:27.955Z - info: Redirecting to home page || anonymous user
2016-10-11T19:15:28.492Z - info: Displaying items for home page || anonymous user
2016-10-11T19:16:19.845Z - info: Redirecting to home page || anonymous user
2016-10-11T19:16:20.302Z - info: Displaying items for home page || anonymous user
2016-10-11T19:16:21.389Z - info: Redirecting to login page
2016-10-11T19:16:28.808Z - info: Redirecting to shopping cart page || anonymous user
2016-10-11T19:16:31.243Z - info: Fetching shopping cart items || user_id :undefined
2016-10-11T19:16:38.851Z - info: Redirecting to home page || anonymous user
2016-10-11T19:16:39.363Z - info: Displaying items for home page || anonymous user
2016-10-11T19:16:40.407Z - info: Redirecting to detail page || anonymous user
2016-10-11T19:16:40.914Z - info: Displaying items for detail page || anonymous user
2016-10-11T19:16:56.443Z - info: Redirecting to login page
2016-10-11T19:17:00.283Z - info: User logged in ||user_id :6
2016-10-11T19:17:00.306Z - info: Redirecting to home page || user_id :6
2016-10-11T19:17:00.735Z - info: Displaying items for home page || user_id :6
2016-10-11T19:17:32.035Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:24:28.660Z - info: Redirecting to home page || anonymous user
2016-10-11T19:24:29.532Z - info: Displaying items for home page || anonymous user
2016-10-11T19:24:57.383Z - info: Redirecting to home page || anonymous user
2016-10-11T19:24:58.222Z - info: Displaying items for home page || anonymous user
2016-10-11T19:26:15.858Z - info: Redirecting to home page || anonymous user
2016-10-11T19:26:16.732Z - info: Displaying items for home page || anonymous user
2016-10-11T19:26:49.215Z - info: Redirecting to home page || anonymous user
2016-10-11T19:26:50.014Z - info: Displaying items for home page || anonymous user
2016-10-11T19:27:01.640Z - info: Redirecting to login page
2016-10-11T19:27:05.124Z - info: User logged in ||user_id :6
2016-10-11T19:27:05.196Z - info: Redirecting to home page || user_id :6
2016-10-11T19:27:06.004Z - info: Displaying items for home page || user_id :6
2016-10-11T19:27:43.211Z - info: Redirecting to home page || user_id :6
2016-10-11T19:27:44.038Z - info: Displaying items for home page || user_id :6
2016-10-11T19:27:59.171Z - info: Redirecting to home page || user_id :6
2016-10-11T19:27:59.995Z - info: Displaying items for home page || user_id :6
2016-10-11T19:28:58.215Z - info: Redirecting to home page || user_id :6
2016-10-11T19:28:59.099Z - info: Displaying items for home page || user_id :6
2016-10-11T19:41:36.298Z - info: Redirecting to home page || user_id :6
2016-10-11T19:41:37.246Z - info: Displaying items for home page || user_id :6
2016-10-11T19:46:50.053Z - info: Redirecting to home page || user_id :6
2016-10-11T19:46:51.058Z - info: Displaying items for home page || user_id :6
2016-10-11T19:48:38.826Z - info: Redirecting to home page || user_id :6
2016-10-11T19:48:39.692Z - info: Displaying items for home page || user_id :6
2016-10-11T19:49:01.667Z - info: Redirecting to home page || user_id :6
2016-10-11T19:49:02.535Z - info: Displaying items for home page || user_id :6
2016-10-11T19:49:55.673Z - info: Redirecting to home page || user_id :6
2016-10-11T19:49:56.578Z - info: Displaying items for home page || user_id :6
2016-10-11T19:50:33.361Z - info: Redirecting to home page || user_id :6
2016-10-11T19:50:34.335Z - info: Displaying items for home page || user_id :6
2016-10-11T19:51:59.442Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:52:13.332Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:52:21.333Z - info: Redirecting to home page || user_id :6
2016-10-11T19:52:21.949Z - info: Displaying items for home page || user_id :6
2016-10-11T19:52:23.277Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:53:08.864Z - info: Redirecting to home page || user_id :6
2016-10-11T19:53:09.407Z - info: Displaying items for home page || user_id :6
2016-10-11T19:53:10.606Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:53:52.196Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:53:52.717Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:53:52.898Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:53:53.076Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:53:53.241Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:53:53.446Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:54:03.672Z - info: Redirecting to home page || user_id :6
2016-10-11T19:54:05.189Z - info: Displaying items for home page || user_id :6
2016-10-11T19:54:06.567Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:55:46.034Z - info: Redirecting to home page || anonymous user
2016-10-11T19:55:47.661Z - info: Displaying items for home page || anonymous user
2016-10-11T19:55:49.023Z - info: Redirecting to login page
2016-10-11T19:55:53.760Z - info: User logged in ||user_id :6
2016-10-11T19:55:53.814Z - info: Redirecting to home page || user_id :6
2016-10-11T19:55:55.126Z - info: Displaying items for home page || user_id :6
2016-10-11T19:55:57.003Z - info: Redirecting to sell page || user_id :6
2016-10-11T19:58:58.567Z - info: Redirecting to my account page || user_id :6
2016-10-11T19:58:59.513Z - info: Displaying account details || user_id :6
2016-10-11T20:05:21.426Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:05:22.333Z - info: Displaying account details || user_id :6
2016-10-11T20:07:32.435Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:07:33.368Z - info: Displaying account details || user_id :6
2016-10-11T20:08:02.697Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:08:03.621Z - info: Displaying account details || user_id :6
2016-10-11T20:08:16.978Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:08:17.907Z - info: Displaying account details || user_id :6
2016-10-11T20:08:47.108Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:08:48.955Z - info: Displaying account details || user_id :6
2016-10-11T20:10:14.523Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:10:17.664Z - info: Displaying account details || user_id :6
2016-10-11T20:10:32.469Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:10:33.998Z - info: Displaying account details || user_id :6
2016-10-11T20:11:39.354Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:11:40.318Z - info: Displaying account details || user_id :6
2016-10-11T20:11:47.395Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:11:48.360Z - info: Displaying account details || user_id :6
2016-10-11T20:13:29.099Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:13:30.049Z - info: Displaying account details || user_id :6
2016-10-11T20:13:40.358Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:13:41.629Z - info: Displaying account details || user_id :6
2016-10-11T20:16:26.703Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:16:27.592Z - info: Displaying account details || user_id :6
2016-10-11T20:16:48.782Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:16:49.692Z - info: Displaying account details || user_id :6
